"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Connecticut","09","2013","2013",442,3596080,12.3
,"Connecticut","09","2014","2014",531,3596677,14.8
,"Connecticut","09","2015","2015",692,3590886,19.3
,"Connecticut","09","2016","2016",868,3576452,24.3
,"Connecticut","09","2017","2017",967,3588184,26.9
,"Connecticut","09","2018","2018",961,3572665,26.9
,"Connecticut","09","2019","2019",1119,3565287,31.4
,"Connecticut","09","2020","2020",1261,3557006,35.5
,"Delaware","10","2010","2010",116,897934,12.9
,"Delaware","10","2011","2011",115,907135,12.7
,"Delaware","10","2012","2012",86,917092,9.4
,"Delaware","10","2013","2013",115,925749,12.4
,"Delaware","10","2014","2014",125,935614,13.4
,"Delaware","10","2015","2015",138,945934,14.6
,"Delaware","10","2016","2016",159,952065,16.7
,"Delaware","10","2017","2017",256,961939,26.6
,"Delaware","10","2018","2018",358,967171,37.0
,"Delaware","10","2019","2019",390,973764,40.1
,"Delaware","10","2020","2020",413,986809,41.9
,"District of Columbia","11","2010","2010",36,601723,6.0
,"District of Columbia","11","2011","2011",57,617996,9.2
,"District of Columbia","11","2012","2012",45,632323,7.1
,"District of Columbia","11","2013","2013",60,646449,9.3
,"District of Columbia","11","2014","2014",65,658893,9.9
,"District of Columbia","11","2015","2015",100,672228,14.9
,"District of Columbia","11","2016","2016",213,681170,31.3
,"District of Columbia","11","2017","2017",246,693972,35.4
,"District of Columbia","11","2018","2018",192,702455,27.3
,"District of Columbia","11","2019","2019",247,705749,35.0
,"District of Columbia","11","2020","2020",340,712816,47.7
,"Florida","12","2010","2010",1739,18801310,9.2
,"Florida","12","2011","2011",1637,19057542,8.6
,"Florida","12","2012","2012",1383,19317568,7.2
,"Florida","12","2013","2013",1327,19552860,6.8
,"Florida","12","2014","2014",1446,19893297,7.3
,"Florida","12","2015","2015",1886,20271272,9.3
,"Florida","12","2016","2016",2847,20612439,13.8
,"Florida","12","2017","2017",3313,20984400,15.8
,"Florida","12","2018","2018",3260,21299325,15.3
,"Florida","12","2019","2019",3843,21477737,17.9
,"Florida","12","2020","2020",5556,21733312,25.6
,"Georgia","13","2010","2010",550,9687653,5.7
,"Georgia","13","2011","2011",549,9815210,5.6
,"Georgia","13","2012","2012",551,9919945,5.6
,"Georgia","13","2013","2013",539,9992167,5.4
,"Georgia","13","2014","2014",724,10097343,7.2
,"Georgia","13","2015","2015",877,10214860,8.6
,"Georgia","13","2016","2016",944,10310371,9.2
,"Georgia","13","2017","2017",1056,10429379,10.1
,"Georgia","13","2018","2018",904,10519475,8.6
,"Georgia","13","2019","2019",902,10617423,8.5
,"Georgia","13","2020","2020",1342,10710017,12.5
,"Hawaii","15","2010","2010",77,1360301,5.7
,"Hawaii","15","2011","2011",78,1374810,5.7
,"Hawaii","15","2012","2012",64,1392313,4.6
,"Hawaii","15","2013","2013",70,1404054,5.0
,"Hawaii","15","2014","2014",62,1419561,4.4
,"Hawaii","15","2015","2015",65,1431603,4.5
,"Hawaii","15","2016","2016",82,1428557,5.7
,"Hawaii","15","2017","2017",55,1427538,3.9
,"Hawaii","15","2018","2018",61,1420491,4.3
,"Hawaii","15","2019","2019",56,1415872,4.0
,"Hawaii","15","2020","2020",74,1407006,5.3
,"Idaho","16","2010","2010",81,1567582,5.2
,"Idaho","16","2011","2011",80,1584985,5.0
,"Idaho","16","2012","2012",61,1595728,3.8
,"Idaho","16","2013","2013",81,1612136,5.0
,"Idaho","16","2014","2014",80,1634464,4.9
,"Idaho","16","2015","2015",91,1654930,5.5
,"Idaho","16","2016","2016",122,1683140,7.2
,"Idaho","16","2017","2017",108,1716943,6.3
,"Idaho","16","2018","2018",126,1754208,7.2
,"Idaho","16","2019","2019",142,1787065,7.9
,"Idaho","16","2020","2020",162,1826913,8.9
,"Illinois","17","2010","2010",921,12830632,7.2
,"Illinois","17","2011","2011",955,12869257,7.4
,"Illinois","17","2012","2012",1204,12875255,9.4
,"Illinois","17","2013","2013",1139,12882135,8.8
,"Illinois","17","2014","2014",1263,12880580,9.8
,"Illinois","17","2015","2015",1440,12859995,11.2
,"Illinois","17","2016","2016",2013,12801539,15.7
,"Illinois","17","2017","2017",2252,12802023,17.6
,"Illinois","17","2018","2018",2215,12741080,17.4
,"Illinois","17","2019","2019",2281,12671821,18.0
,"Illinois","17","2020","2020",3014,12587530,23.9
,"Indiana","18","2010","2010",300,6483802,4.6
,"Indiana","18","2011","2011",375,6516922,5.8
,"Indiana","18","2012","2012",397,6537334,6.1
,"Indiana","18","2013","2013",387,6570902,5.9
,"Indiana","18","2014","2014",489,6596855,7.4
,"Indiana","18","2015","2015",564,6619680,8.5
,"Indiana","18","2016","2016",828,6633053,12.5
,"Indiana","18","2017","2017",1211,6666818,18.2
,"Indiana","18","2018","2018",1142,6691878,17.1
,"Indiana","18","2019","2019",1296,6732219,19.3
,"Indiana","18","2020","2020",1960,6754953,29.0
,"Iowa","19","2010","2010",163,3046355,5.4
,"Iowa","19","2011","2011",183,3062309,6.0
,"Iowa","19","2012","2012",185,3074186,6.0
,"Iowa","19","2013","2013",190,3090416,6.1
,"Iowa","19","2014","2014",170,3107126,5.5
,"Iowa","19","2015","2015",183,3123899,5.9
,"Iowa","19","2016","2016",195,3134693,6.2
,"Iowa","19","2017","2017",214,3145711,6.8
,"Iowa","19","2018","2018",151,3156145,4.8
,"Iowa","19","2019","2019",174,3155070,5.5
,"Iowa","19","2020","2020",235,3163561,7.4
,"Kansas","20","2010","2010",111,2853118,3.9
,"Kansas","20","2011","2011",131,2871238,4.6
,"Kansas","20","2012","2012",184,2885905,6.4
,"Kansas","20","2013","2013",171,2893957,5.9
,"Kansas","20","2014","2014",188,2904021,6.5
,"Kansas","20","2015","2015",167,2911641,5.7
,"Kansas","20","2016","2016",164,2907289,5.6
,"Kansas","20","2017","2017",159,2913123,5.5
,"Kansas","20","2018","2018",168,2911505,5.8
,"Kansas","20","2019","2019",199,2913314,6.8
,"Kansas","20","2020","2020",278,2913805,9.5
,"Kentucky","21","2010","2010",624,4339367,14.4
,"Kentucky","21","2011","2011",707,4369356,16.2
,"Kentucky","21","2012","2012",713,4380415,16.3
,"Kentucky","21","2013","2013",689,4395295,15.7
,"Kentucky","21","2014","2014",762,4413457,17.3
,"Kentucky","21","2015","2015",911,4425092,20.6
,"Kentucky","21","2016","2016",1012,4436974,22.8
,"Kentucky","21","2017","2017",1190,4454189,26.7
,"Kentucky","21","2018","2018",1012,4468402,22.6
,"Kentucky","21","2019","2019",1063,4467673,23.8
,"Kentucky","21","2020","2020",1744,4477251,39.0
,"Louisiana","22","2010","2010",130,4533372,2.9
,"Louisiana","22","2011","2011",121,4574836,2.6
,"Louisiana","22","2012","2012",180,4601893,3.9
,"Louisiana","22","2013","2013",270,4625470,5.8
,"Louisiana","22","2014","2014",266,4649676,5.7
,"Louisiana","22","2015","2015",296,4670724,6.3
,"Louisiana","22","2016","2016",359,4681666,7.7
,"Louisiana","22","2017","2017",437,4684333,9.3
,"Louisiana","22","2018","2018",465,4659978,10.0
,"Louisiana","22","2019","2019",581,4648794,12.5
,"Louisiana","22","2020","2020",975,4645318,21.0
,"Maine","23","2010","2010",91,1328361,6.9
,"Maine","23","2011","2011",95,1328188,7.2
,"Maine","23","2012","2012",107,1329192,8.1
,"Maine","23","2013","2013",134,1328302,10.1
,"Maine","23","2014","2014",174,1330089,13.1
,"Maine","23","2015","2015",246,1329328,18.5
,"Maine","23","2016","2016",306,1331479,23.0
,"Maine","23","2017","2017",364,1335907,27.2
,"Maine","23","2018","2018",287,1338404,21.4
,"Maine","23","2019","2019",325,1344212,24.2
,"Maine","23","2020","2020",429,1350141,31.8
,"Maryland","24","2010","2010",522,5773552,9.0
,"Maryland","24","2011","2011",562,5828289,9.6
,"Maryland","24","2012","2012",667,5884563,11.3
,"Maryland","24","2013","2013",759,5928814,12.8
,"Maryland","24","2014","2014",932,5976407,15.6
,"Maryland","24","2015","2015",1100,6006401,18.3
,"Maryland","24","2016","2016",1847,6016447,30.7
,"Maryland","24","2017","2017",2012,6052177,33.2
,"Maryland","24","2018","2018",2123,6042718,35.1
,"Maryland","24","2019","2019",2144,6045680,35.5
,"Maryland","24","2020","2020",2549,6055802,42.1
,"Massachusetts","25","2010","2010",577,6547629,8.8
,"Massachusetts","25","2011","2011",669,6587536,10.2
,"Massachusetts","25","2012","2012",712,6646144,10.7
,"Massachusetts","25","2013","2013",910,6692824,13.6
,"Massachusetts","25","2014","2014",1161,6745408,17.2
,"Massachusetts","25","2015","2015",1583,6794422,23.3
,"Massachusetts","25","2016","2016",2025,6811779,29.7
,"Massachusetts","25","2017","2017",1940,6859819,28.3
,"Massachusetts","25","2018","2018",2010,6902149,29.1
,"Massachusetts","25","2019","2019",1996,6892503,29.0
,"Massachusetts","25","2020","2020",2104,6893574,30.5
,"Michigan","26","2010","2010",725,9883640,7.3
,"Michigan","26","2011","2011",756,9876187,7.7
,"Michigan","26","2012","2012",700,9883360,7.1
,"Michigan","26","2013","2013",934,9895622,9.4
,"Michigan","26","2014","2014",1076,9909877,10.9
,"Michigan","26","2015","2015",1332,9922576,13.4
,"Michigan","26","2016","2016",1795,9928300,18.1
,"Michigan","26","2017","2017",2074,9962311,20.8
,"Michigan","26","2018","2018",2043,9995915,20.4
,"Michigan","26","2019","2019",1813,9986857,18.2
,"Michigan","26","2020","2020",2228,9966555,22.4
,"Minnesota","27","2010","2010",242,5303925,4.6
,"Minnesota","27","2011","2011",295,5344861,5.5
,"Minnesota","27","2012","2012",298,5379139,5.5
,"Minnesota","27","2013","2013",314,5420380,5.8
,"Minnesota","27","2014","2014",331,5457173,6.1
,"Minnesota","27","2015","2015",346,5489594,6.3
,"Minnesota","27","2016","2016",404,5519952,7.3
,"Minnesota","27","2017","2017",436,5576606,7.8
,"Minnesota","27","2018","2018",352,5611179,6.3
,"Minnesota","27","2019","2019",435,5639632,7.7
,"Minnesota","27","2020","2020",705,5657342,12.5
,"Mississippi","28","2010","2010",105,2967297,3.5
,"Mississippi","28","2011","2011",84,2978512,2.8
,"Mississippi","28","2012","2012",112,2984926,3.8
,"Mississippi","28","2013","2013",103,2991207,3.4
,"Mississippi","28","2014","2014",117,2994079,3.9
,"Mississippi","28","2015","2015",157,2992333,5.2
,"Mississippi","28","2016","2016",184,2988726,6.2
,"Mississippi","28","2017","2017",191,2984100,6.4
,"Mississippi","28","2018","2018",177,2986530,5.9
,"Mississippi","28","2019","2019",249,2976149,8.4
,"Mississippi","28","2020","2020",409,2966786,13.8
,"Missouri","29","2010","2010",612,5988927,10.2
,"Missouri","29","2011","2011",614,6010688,10.2
,"Missouri","29","2012","2012",556,6021988,9.2
,"Missouri","29","2013","2013",644,6044171,10.7
,"Missouri","29","2014","2014",726,6063589,12.0
,"Missouri","29","2015","2015",716,6083672,11.8
,"Missouri","29","2016","2016",940,6093000,15.4
,"Missouri","29","2017","2017",984,6113532,16.1
,"Missouri","29","2018","2018",1185,6126452,19.3
,"Missouri","29","2019","2019",1137,6137428,18.5
,"Missouri","29","2020","2020",1428,6151548,23.2
,"Montana","30","2010","2010",55,989415,5.6
,"Montana","30","2011","2011",63,998199,6.3
,"Montana","30","2012","2012",53,1005141,5.3
,"Montana","30","2013","2013",68,1015165,6.7
,"Montana","30","2014","2014",54,1023579,5.3
,"Montana","30","2015","2015",49,1032949,4.7
,"Montana","30","2016","2016",43,1042520,4.1
,"Montana","30","2017","2017",38,1050493,3.6
,"Montana","30","2018","2018",64,1062305,6.0
,"Montana","30","2019","2019",73,1068778,6.8
,"Montana","30","2020","2020",88,1080577,8.1
,"Nebraska","31","2010","2010",61,1826341,3.3
,"Nebraska","31","2011","2011",54,1842641,2.9
,"Nebraska","31","2012","2012",60,1855525,3.2
,"Nebraska","31","2013","2013",42,1868516,2.2
,"Nebraska","31","2014","2014",60,1881503,3.2
,"Nebraska","31","2015","2015",60,1896190,3.2
,"Nebraska","31","2016","2016",47,1907116,2.5
,"Nebraska","31","2017","2017",61,1920076,3.2
,"Nebraska","31","2018","2018",66,1929268,3.4
,"Nebraska","31","2019","2019",73,1934408,3.8
,"Nebraska","31","2020","2020",107,1937552,5.5
,"Nevada","32","2010","2010",520,2700551,19.3
,"Nevada","32","2011","2011",532,2723322,19.5
,"Nevada","32","2012","2012",493,2758931,17.9
,"Nevada","32","2013","2013",443,2790136,15.9
,"Nevada","32","2014","2014",413,2839099,14.5
,"Nevada","32","2015","2015",476,2890845,16.5
,"Nevada","32","2016","2016",455,2940058,15.5
,"Nevada","32","2017","2017",450,2998039,15.0
,"Nevada","32","2018","2018",399,3034392,13.1
,"Nevada","32","2019","2019",397,3080156,12.9
,"Nevada","32","2020","2020",584,3138259,18.6
,"New Hampshire","33","2010","2010",119,1316470,9.0
,"New Hampshire","33","2011","2011",158,1318194,12.0
,"New Hampshire","33","2012","2012",134,1320718,10.1
,"New Hampshire","33","2013","2013",161,1323459,12.2
,"New Hampshire","33","2014","2014",302,1326813,22.8
,"New Hampshire","33","2015","2015",386,1330608,29.0
,"New Hampshire","33","2016","2016",445,1334795,33.3
,"New Hampshire","33","2017","2017",430,1342795,32.0
,"New Hampshire","33","2018","2018",421,1356458,31.0
,"New Hampshire","33","2019","2019",373,1359711,27.4
,"New Hampshire","33","2020","2020",347,1366275,25.4
,"New Jersey","34","2010","2010",384,8791894,4.4
,"New Jersey","34","2011","2011",478,8821155,5.4
,"New Jersey","34","2012","2012",625,8864590,7.1
,"New Jersey","34","2013","2013",711,8899339,8.0
,"New Jersey","34","2014","2014",757,8938175,8.5
,"New Jersey","34","2015","2015",879,8958013,9.8
,"New Jersey","34","2016","2016",1465,8944469,16.4
,"New Jersey","34","2017","2017",2007,9005644,22.3
,"New Jersey","34","2018","2018",2618,8908520,29.4
,"New Jersey","34","2019","2019",2544,8882190,28.6
,"New Jersey","34","2020","2020",2581,8882371,29.1
,"New Mexico","35","2010","2010",201,2059179,9.8
,"New Mexico","35","2011","2011",254,2082224,12.2
,"New Mexico","35","2012","2012",339,2085538,16.3
,"New Mexico","35","2013","2013",350,2085287,16.8
,"New Mexico","35","2014","2014",416,2085572,19.9
,"New Mexico","35","2015","2015",376,2085109,18.0
,"New Mexico","35","2016","2016",368,2081015,17.7
,"New Mexico","35","2017","2017",357,2088070,17.1
,"New Mexico","35","2018","2018",359,2095428,17.1
,"New Mexico","35","2019","2019",410,2096829,19.6
,"New Mexico","35","2020","2020",569,2106319,27.0
,"New York","36","2010","2010",1115,19378102,5.8
,"New York","36","2011","2011",1417,19465197,7.3
,"New York","36","2012","2012",1576,19570261,8.1
,"New York","36","2013","2013",1732,19651127,8.8
,"New York","36","2014","2014",1787,19746227,9.0
,"New York","36","2015","2015",2224,19795791,11.2
,"New York","36","2016","2016",3088,19745289,15.6
,"New York","36","2017","2017",3300,19849399,16.6
,"New York","36","2018","2018",3065,19542209,15.7
,"New York","36","2019","2019",3015,19453561,15.5
,"New York","36","2020","2020",4315,19336776,22.3
,"North Carolina","37","2010","2010",787,9535483,8.3
,"North Carolina","37","2011","2011",829,9656401,8.6
,"North Carolina","37","2012","2012",841,9752073,8.6
,"North Carolina","37","2013","2013",840,9848060,8.5
,"North Carolina","37","2014","2014",979,9943964,9.8
,"North Carolina","37","2015","2015",1189,10042802,11.8
,"North Carolina","37","2016","2016",1544,10146788,15.2
,"North Carolina","37","2017","2017",1972,10273419,19.2
,"North Carolina","37","2018","2018",1806,10383620,17.4
,"North Carolina","37","2019","2019",1838,10488084,17.5
,"North Carolina","37","2020","2020",2668,10600823,25.2
,"North Dakota","38","2010","2010",18,672591,Unreliable
,"North Dakota","38","2011","2011",10,683932,Unreliable
,"North Dakota","38","2013","2013",14,723393,Unreliable
,"North Dakota","38","2014","2014",34,739482,4.6
,"North Dakota","38","2015","2015",36,756927,4.8
,"North Dakota","38","2016","2016",55,757952,7.3
,"North Dakota","38","2017","2017",36,755393,4.8
,"North Dakota","38","2018","2018",38,760077,5.0
,"North Dakota","38","2019","2019",43,762062,5.6
,"North Dakota","38","2020","2020",72,765309,9.4
,"Ohio","39","2010","2010",1197,11536504,10.4
,"Ohio","39","2011","2011",1333,11544951,11.5
,"Ohio","39","2012","2012",1403,11544225,12.2
,"Ohio","39","2013","2013",1695,11570808,14.6
,"Ohio","39","2014","2014",2175,11594163,18.8
,"Ohio","39","2015","2015",2758,11613423,23.7
,"Ohio","39","2016","2016",3688,11614373,31.8
,"Ohio","39","2017","2017",4379,11658609,37.6
,"Ohio","39","2018","2018",3319,11689442,28.4
,"Ohio","39","2019","2019",3553,11689100,30.4
,"Ohio","39","2020","2020",4494,11693217,38.4
,"Oklahoma","40","2010","2010",523,3751351,13.9
,"Oklahoma","40","2011","2011",492,3791508,13.0
,"Oklahoma","40","2012","2012",538,3814820,14.1
,"Oklahoma","40","2013","2013",521,3850568,13.5
,"Oklahoma","40","2014","2014",504,3878051,13.0
,"Oklahoma","40","2015","2015",447,3911338,11.4
,"Oklahoma","40","2016","2016",452,3923561,11.5
,"Oklahoma","40","2017","2017",401,3930864,10.2
,"Oklahoma","40","2018","2018",318,3943079,8.1
,"Oklahoma","40","2019","2019",274,3956971,6.9
,"Oklahoma","40","2020","2020",326,3980783,8.2
,"Oregon","41","2010","2010",337,3831074,8.8
,"Oregon","41","2011","2011",402,3871859,10.4
,"Oregon","41","2012","2012",369,3899353,9.5
,"Oregon","41","2013","2013",310,3930065,7.9
,"Oregon","41","2014","2014",347,3970239,8.7
,"Oregon","41","2015","2015",340,4028977,8.4
,"Oregon","41","2016","2016",324,4093465,7.9
,"Oregon","41","2017","2017",353,4142776,8.5
,"Oregon","41","2018","2018",351,4190713,8.4
,"Oregon","41","2019","2019",338,4217737,8.0
,"Oregon","41","2020","2020",511,4241507,12.0
,"Pennsylvania","42","2010","2010",640,12702379,5.0
,"Pennsylvania","42","2011","2011",770,12742886,6.0
,"Pennsylvania","42","2012","2012",840,12763536,6.6
,"Pennsylvania","42","2013","2013",970,12773801,7.6
,"Pennsylvania","42","2014","2014",1110,12787209,8.7
,"Pennsylvania","42","2015","2015",1387,12802503,10.8
,"Pennsylvania","42","2016","2016",2264,12784227,17.7
,"Pennsylvania","42","2017","2017",2579,12805537,20.1
,"Pennsylvania","42","2018","2018",2891,12807060,22.6
,"Pennsylvania","42","2019","2019",3073,12801989,24.0
,"Pennsylvania","42","2020","2020",3950,12783254,30.9
,"Rhode Island","44","2010","2010",112,1052567,10.6
,"Rhode Island","44","2011","2011",145,1051302,13.8
,"Rhode Island","44","2012","2012",143,1050292,13.6
,"Rhode Island","44","2013","2013",195,1051511,18.5
,"Rhode Island","44","2014","2014",211,1055173,20.0
,"Rhode Island","44","2015","2015",258,1056298,24.4
,"Rhode Island","44","2016","2016",281,1056426,26.6
,"Rhode Island","44","2017","2017",281,1059639,26.5
,"Rhode Island","44","2018","2018",268,1057315,25.3
,"Rhode Island","44","2019","2019",243,1059361,22.9
,"Rhode Island","44","2020","2020",333,1057125,31.5
,"South Carolina","45","2010","2010",278,4625364,6.0
,"South Carolina","45","2011","2011",249,4679230,5.3
,"South Carolina","45","2012","2012",245,4723723,5.2
,"South Carolina","45","2013","2013",250,4774839,5.2
,"South Carolina","45","2014","2014",530,4832482,11.0
,"South Carolina","45","2015","2015",581,4896146,11.9
,"South Carolina","45","2016","2016",657,4961119,13.2
,"South Carolina","45","2017","2017",773,5024369,15.4
,"South Carolina","45","2018","2018",858,5084127,16.9
,"South Carolina","45","2019","2019",883,5148714,17.1
,"South Carolina","45","2020","2020",1431,5218040,27.4
,"South Dakota","46","2010","2010",33,814180,4.1
,"South Dakota","46","2011","2011",35,824082,4.2
,"South Dakota","46","2012","2012",26,833354,3.1
,"South Dakota","46","2013","2013",34,844877,4.0
,"South Dakota","46","2014","2014",33,853175,3.9
,"South Dakota","46","2015","2015",28,858469,3.3
,"South Dakota","46","2016","2016",44,865454,5.1
,"South Dakota","46","2017","2017",35,869666,4.0
,"South Dakota","46","2018","2018",29,882235,3.3
,"South Dakota","46","2019","2019",39,884659,4.4
,"South Dakota","46","2020","2020",48,892717,5.4
,"Tennessee","47","2010","2010",652,6346105,10.3
,"Tennessee","47","2011","2011",663,6403353,10.4
,"Tennessee","47","2012","2012",748,6456243,11.6
,"Tennessee","47","2013","2013",789,6495978,12.1
,"Tennessee","47","2014","2014",892,6549352,13.6
,"Tennessee","47","2015","2015",1074,6600299,16.3
,"Tennessee","47","2016","2016",1236,6651194,18.6
,"Tennessee","47","2017","2017",1299,6715984,19.3
,"Tennessee","47","2018","2018",1341,6770010,19.8
,"Tennessee","47","2019","2019",1593,6829174,23.3
,"Tennessee","47","2020","2020",2456,6886834,35.7
,"Texas","48","2010","2010",1171,25145561,4.7
,"Texas","48","2011","2011",1218,25674681,4.7
,"Texas","48","2012","2012",1179,26059203,4.5
,"Texas","48","2013","2013",1114,26448193,4.2
,"Texas","48","2014","2014",1219,26956958,4.5
,"Texas","48","2015","2015",1350,27469114,4.9
,"Texas","48","2016","2016",1434,27862596,5.1
,"Texas","48","2017","2017",1529,28304596,5.4
,"Texas","48","2018","2018",1457,28701845,5.1
,"Texas","48","2019","2019",1562,28995881,5.4
,"Texas","48","2020","2020",2191,29360759,7.5
,"Utah","49","2010","2010",353,2763885,12.8
,"Utah","49","2011","2011",394,2817222,14.0
,"Utah","49","2012","2012",438,2855287,15.3
,"Utah","49","2013","2013",444,2900872,15.3
,"Utah","49","2014","2014",471,2942902,16.0
,"Utah","49","2015","2015",463,2995919,15.5
,"Utah","49","2016","2016",483,3051217,15.8
,"Utah","49","2017","2017",468,3101833,15.1
,"Utah","49","2018","2018",458,3161105,14.5
,"Utah","49","2019","2019",415,3205958,12.9
,"Utah","49","2020","2020",455,3249879,14.0
,"Vermont","50","2010","2010",45,625741,7.2
,"Vermont","50","2011","2011",60,626431,9.6
,"Vermont","50","2012","2012",57,626011,9.1
,"Vermont","50","2013","2013",75,626630,12.0
,"Vermont","50","2014","2014",72,626562,11.5
,"Vermont","50","2015","2015",83,626042,13.3
,"Vermont","50","2016","2016",103,624594,16.5
,"Vermont","50","2017","2017",119,623657,19.1
,"Vermont","50","2018","2018",128,626299,20.4
,"Vermont","50","2019","2019",117,623989,18.8
,"Vermont","50","2020","2020",165,623347,26.5
,"Virginia","51","2010","2010",400,8001024,5.0
,"Virginia","51","2011","2011",582,8096604,7.2
,"Virginia","51","2012","2012",547,8185867,6.7
,"Virginia","51","2013","2013",651,8260405,7.9
,"Virginia","51","2014","2014",775,8326289,9.3
,"Virginia","51","2015","2015",832,8382993,9.9
,"Virginia","51","2016","2016",1145,8411808,13.6
,"Virginia","51","2017","2017",1246,8470020,14.7
,"Virginia","51","2018","2018",1212,8517685,14.2
,"Virginia","51","2019","2019",1284,8535519,15.0
,"Virginia","51","2020","2020",1917,8590563,22.3
,"Washington","53","2010","2010",648,6724540,9.6
,"Washington","53","2011","2011",712,6830038,10.4
,"Washington","53","2012","2012",717,6897012,10.4
,"Washington","53","2013","2013",667,6971406,9.6
,"Washington","53","2014","2014",692,7061530,9.8
,"Washington","53","2015","2015",716,7170351,10.0
,"Washington","53","2016","2016",730,7288000,10.0
,"Washington","53","2017","2017",767,7405743,10.4
,"Washington","53","2018","2018",767,7535591,10.2
,"Washington","53","2019","2019",853,7614893,11.2
,"Washington","53","2020","2020",1221,7693612,15.9
,"West Virginia","54","2010","2010",495,1852994,26.7
,"West Virginia","54","2011","2011",596,1855364,32.1
,"West Virginia","54","2012","2012",513,1855413,27.6
,"West Virginia","54","2013","2013",518,1854304,27.9
,"West Virginia","54","2014","2014",585,1850326,31.6
,"West Virginia","54","2015","2015",664,1844128,36.0
,"West Virginia","54","2016","2016",765,1831102,41.8
,"West Virginia","54","2017","2017",865,1815857,47.6
,"West Virginia","54","2018","2018",739,1805832,40.9
,"West Virginia","54","2019","2019",704,1792147,39.3
,"West Virginia","54","2020","2020",1179,1784787,66.1
,"Wisconsin","55","2010","2010",420,5686986,7.4
,"Wisconsin","55","2011","2011",484,5711767,8.5
,"Wisconsin","55","2012","2012",496,5726398,8.7
,"Wisconsin","55","2013","2013",604,5742713,10.5
,"Wisconsin","55","2014","2014",640,5757564,11.1
,"Wisconsin","55","2015","2015",633,5771337,11.0
,"Wisconsin","55","2016","2016",877,5778708,15.2
